name,market_open,lat,lng,toilet,garage
경안시장,3일+8일,37.40885235,127.2570231,Y,Y
신중앙시장,매일,36.32729269,127.4336344,Y,Y
중앙종합시장,매일,36.32858655,127.4322049,Y,Y
가평잣고을시장,5일+10일,37.82972123,127.5148873,Y,Y
신도시장,매일,36.3495206,127.447114,Y,Y
중리시장,매일,36.3655916,127.4263925,Y,Y
송촌시장,매일,36.36463844,127.439864,Y,Y
신탄진시장,3일+8일,36.44915618,127.4265148,Y,Y
법동시장,매일,36.36622183,127.4315773,Y,Y
중앙시장,매일,35.87237538,128.5931143,Y,N
번개시장,매일,35.87508428,128.5981288,Y,Y
약령시장,매일,35.86812814,128.5899293,Y,N
서문시장4지구종합대체상가(베네시움),매일,35.86672736,128.5827273,Y,Y
서문시장2지구종합상가,매일,35.86881497,128.579536,Y,Y
명품프라자상가,매일,35.86990532,128.5809084,Y,Y
서문시장 제1지구1층(직물시장),매일,35.86938777,128.5798352,Y,Y
서문시장 제1지구2층(포목시장),매일,35.86938777,128.5798352,Y,Y
서문시장 아진상가,매일,35.86995064,128.5815736,Y,Y
동산상가,매일,35.86895745,128.5817199,Y,Y
서문시장5지구,매일,35.86808104,128.5784697,Y,Y
서문시장건해산물상가,매일,35.8681669,128.5794789,Y,Y
방천시장,매일,35.86113952,128.6072142,Y,Y
교동시장,매일,35.8732548,128.5967856,Y,Y
염매시장,매일,35.86686144,128.5916753,Y,N
황금시장,매일,35.84839977,128.6199562,Y,Y
지산목련시장(지산종합시장),매일,35.82079684,128.631863,Y,Y
신매시장,매일,35.83727706,128.70972,Y,N
태백시장,매일,35.85519908,128.6167578,Y,Y
원미종합시장,매일,37.49368572,126.79018,Y,N
장전상가시장,매일,35.23085024,129.0861108,Y,N
장성시장,매일,35.23744721,129.0855549,Y,N
서동향토시장,매일,35.21593515,129.1033531,Y,N
서동전통골목시장,매일,35.21527847,129.1022491,Y,N
서동시장,매일,35.21641237,129.1023592,Y,Y
부곡상가시장,매일,35.22548538,129.0915165,Y,N
금사제일상가시장,매일,35.22045187,129.1125513,Y,N
구서오시게시장,매일,35.24734164,129.089741,Y,Y
명지시장,매일,35.11253967,128.931598,Y,Y
태평전통시장,매일,36.32593972,127.3976994,Y,Y
유천전통시장,매일,36.31724169,127.3954838,Y,Y
용두전통시장,매일,36.32341318,127.4145695,N,N
오류전통시장,매일,36.32194898,127.407958,Y,N
산성뿌리전통시장,매일,36.30655402,127.3871238,Y,Y
부사전통시장,매일,36.31413817,127.4353766,Y,Y
강남시장,매일,37.50749709,126.7814665,Y,Y
송강전통시장,매일,36.43519975,127.386613,Y,Y
산본시장,매일,37.37016452,126.938529,Y,Y
한민시장,매일,36.33461781,127.3840015,Y,Y
중앙상가시장,매일,36.32961777,127.4311303,Y,Y
대전도매시장,매일,,,Y,Y
인동시장,매일,36.3225352,127.4359133,Y,Y
대전상가시장,매일,36.32178451,127.4366553,Y,N
정원시장,매일,36.32911119,127.4316621,Y,Y
전통중앙도매상가,매일,36.32983375,127.4337042,Y,Y
중앙메가프라자,매일,36.3267328,127.4339543,Y,Y
군포역전시장,매일,37.35386933,126.9476622,Y,Y
민락어패류시장,매일,35.1556955,129.1243612,Y,Y
충렬상가시장,매일,35.19809586,129.1099534,Y,Y
안락상가시장,매일,35.19547988,129.1033085,Y,Y
서원시장,매일,35.20039365,129.0990109,Y,Y
수안인정시장,매일,35.20149174,129.0865781,Y,Y
사직시장,매일,35.20005107,129.0623223,Y,Y
국민시장,매일,35.19840108,129.0582405,Y,Y
신정시장,매일,35.19679122,129.0694863,Y,N
원종종합시장,매일,37.51974201,126.8055478,Y,Y
명장시장,매일,35.20403146,129.1074706,Y,N
초량전통시장,매일,35.11804138,129.0396662,Y,N
초량상가시장,매일,35.11890115,129.0399838,Y,N
수정전통시장,매일,,,N,N
수정시장,매일,35.12823716,129.0463919,Y,Y
범일골목시장,매일,35.14161538,129.0544611,Y,N
부산진시장,매일,35.13642531,129.0588399,Y,Y
부산남문시장,매일,35.13592329,129.0586847,Y,Y
부산자유시장,매일,35.14096583,129.0610388,Y,Y
성북시장,매일,35.13855921,129.0481765,Y,Y
우암골목시장,매일,35.12618059,129.0709109,Y,N
용호1동골목시장,매일,35.1243582,129.1102038,Y,Y
용호시장,매일,35.11491426,129.1127725,Y,Y
용호삼성시장,매일,35.12389935,129.1105368,Y,N
용호골목시장,매일,35.11640599,129.1114621,Y,Y
대연시장,매일,35.13567567,129.0884182,Y,Y
못골골목시장,매일,35.13586205,129.0896296,Y,Y
남광시장,매일,35.12399327,129.0887175,Y,N
