시장명,시장유형,위도,경도,점포수,공중화장실보유여부,주차장보유여부,개설연도
표선오일시장,5일장,33.32271206,126.8303863,50,Y,Y,1985
세화오일시장,5일장,33.52618615,126.857297,151,Y,Y,1965
제주시민속오일시장,5일장,33.49724208,126.474894,911,Y,Y,1998
함덕오일시장,5일장,33.54025782,126.6679684,42,Y,Y,2007
한림민속오일시장(한림오일시장),5일장,33.41983074,126.2745011,144,Y,Y,2002
죽산시장,5일장,37.07598943,127.4233876,103,Y,Y,2010
마전시장,5일장,36.1906104,127.4669775,15,Y,N,1965
부여 새시장,5일장,36.28098513,126.9096533,70,N,N,1916
홍산시장,5일장,36.21390559,126.7576014,50,Y,Y,1928
덕산시장,5일장,36.70498477,126.6681533,53,Y,Y,1887
예산시장,5일장,36.67723471,126.8494508,,Y,Y,1926
갈산전통시장,5일장,36.6036997,126.5505509,51,Y,Y,1943
광천문화시장,5일장,36.50232616,126.6250081,157,Y,N,1926
마로관기시장(관기재래시장),5일장,36.43524115,127.8175958,40,Y,Y,1964
비아5일시장,5일장,35.22135885,126.8252669,133,Y,Y,1964
송정5일시장,5일장,35.13708297,126.7969059,113,Y,Y,1964
말바우시장,5일장,35.1729756,126.9213684,511,Y,Y,2005
과역전통시장,5일장,34.67945246,127.3622598,31,Y,Y,1946
도화전통시장,5일장,34.50976415,127.3218805,18,Y,Y,1958
동강전통시장,5일장,34.78037382,127.3349881,27,Y,Y,1948
곡성기차마을전통시장,5일장,35.27976851,127.2984376,124,Y,Y,1956
석곡전통시장,5일장,35.1329487,127.2540916,48,Y,Y,1956
광양5일시장,5일장,34.97115451,127.5904463,97,Y,Y,1964
옥곡5일시장,5일장,34.98850818,127.7002388,56,Y,Y,1962
구례5일시장,5일장,35.21015279,127.4700811,157,Y,Y,1959
공산5일시장,5일장,34.94332975,126.6081282,15,Y,N,1964
다시5일시장,5일장,35.01574218,126.635656,40,Y,Y,1920
세지5일장,5일장,34.92020003,126.7475101,15,Y,N,1936
영산포풍물시장,5일장,34.99199963,126.7072637,204,Y,Y,2003
벌교5일시장,5일장,34.84493765,127.3450787,51,Y,Y,1964
녹차골보성향토시장(보성읍5일시장),5일장,34.76564893,127.0772318,99,Y,Y,1955
조성5일시장,5일장,34.80647859,127.2452772,20,Y,Y,1964
순천시아랫장(순천아랫장),5일장,34.94514825,127.496084,206,Y,Y,1977
괴목시장,5일장,35.10242889,127.4282501,50,Y,Y,1964
영광고추특화시장,5일장,35.27472202,126.4935505,42,Y,Y,1995
시종5일시장,5일장,34.8674024,126.608099,46,Y,Y,1969
신북5일시장,5일장,34.8885919,126.6922237,17,Y,N,1964
포항운하송림시장,상설장,36.02820448,129.3763138,35,Y,N,1987
안동서부시장,상설장+5일장,36.56527506,128.7149733,118,Y,Y,1980
풍기토종인삼시장,상설장,36.87028584,128.5224255,50,Y,Y,2009
