name,도로종류,lat,lng,electric_charge,sleep,shower,laundry,menu
충주(양평),고속국도,37.023175,127.839297,Y,,,,얼큰새뱅이해물순두부
춘향(완주),고속국도,35.3376914,127.3537495,N,,,,향단이정식+방자네추어탕
춘향(순천),고속국도,35.3367566,127.3515503,N,,,,향단이정식+방자네추어탕
춘천(부산),고속국도,37.8126801,127.766078,Y,,,,춘천버섯닭갈비정식
추풍령(서울),고속국도,36.199708,128.003242,Y,,,,김천지례석쇠불고기
추풍령(부산),고속국도,36.200356,128.000331,Y,Y,Y,Y,얼큰칼제비
청통(대구),고속국도,35.993928,128.859145,Y,,,,차돌된장찌개
청주(서울),고속국도,36.716005,127.349315,Y,Y,Y,Y,솥밥통마늘제육정식
청송(청주),고속국도,36.456721,129.012028,Y,Y,Y,Y,청송사과돈가스
청송(영덕),고속국도,36.455725,129.0131901,N,Y,Y,Y,청송사과돈가스
천안호두(부산),고속국도,36.730226,127.263879,Y,,,,아우네병천순대국밥
천안삼거리(서울),고속국도,36.787809,127.173455,Y,,,,해주비빔밥
천등산(평택),고속국도,37.076872,127.989171,Y,,,,우렁순두부찌개
천등산(제천),고속국도,37.061597,127.939378,Y,Y,Y,Y,천등산고추장짜글이
진주(부산),고속국도,35.159772,128.1220101,Y,,,,진주육전비빔밥
진영(순천),고속국도,35.280059,128.716044,Y,,,,장군차갈비찜
진영(부산),고속국도,35.2779101,128.715388,Y,,,,진영소국밥
진안마이산(장수),고속국도,35.7748201,127.426362,Y,,,,흑돼지돈까스
진안마이산(익산),고속국도,35.777898,127.425279,Y,Y,Y,Y,흑돼지고추장찌개
지리산(대구),고속국도,35.481353,127.566804,Y,Y,Y,Y,춘향돌솥추어탕+화덕고등어구이
지리산(광주),고속국도,35.483942,127.567106,Y,Y,Y,Y,춘향돌솥추어탕+화덕고등어구이
죽전(서울),고속국도,37.332371,127.104795,Y,,,,용인특산품영양밥정식
죽암(서울),고속국도,36.496775,127.4306501,Y,,,,돌솥비빔밥
죽암(부산),고속국도,36.4868101,127.429261,Y,,,,보은대추왕갈비탕
주암(천안),고속국도,35.076587,127.265762,Y,,,,오.쭈.삼 철판볶음+제육볶음
주암(순천),고속국도,35.076197,127.2641001,Y,,,,한우파개장+해물순두부
정읍녹두장군(천안),고속국도,35.599975,126.864336,Y,,,,정읍국밥
정읍녹두장군(순천),고속국도,35.601465,126.862006,Y,,,,녹두장군오리탕
장흥정남진,고속국도,34.720894,126.931319,Y,,,,표고뚝배기불고기+순두부찌개
장유(서부산),고속국도,35.212074,128.7935801,Y,,,,통영해물순두부찌개
입장거봉포도(서울),고속국도,36.942997,127.192467,Y,Y,Y,Y,입장거봉포도돈까스
이천(하남),고속국도,37.293979,127.378203,Y,Y,Y,Y,영양돌솥비빔밥
이천(남이),고속국도,37.264574,127.403687,Y,,,,장터국밥
이서(천안),고속국도,35.801932,127.025759,Y,,,,명품애호박국밥
이서(순천),고속국도,35.803936,127.023705,Y,,,,명품꼬막비빔밥
의성(청주),고속국도,36.410954,128.4447101,Y,,,,의성마늘육개장
의성(영덕),고속국도,36.409501,128.447699,Y,,,,의성마늘곰탕
음성(하남),고속국도,37.022065,127.484315,Y,Y,Y,Y,음성인삼설렁탕
음성(남이),고속국도,37.019638,127.480712,Y,,,,우거지별난국밥
원주(춘천),고속국도,37.434542,127.931768,Y,,,,한돈고추장불고기
원주(부산),고속국도,37.435194,127.929063,Y,Y,Y,Y,한우국밥
울주(함양),고속국도,35.5131601,129.128519,Y,,,,고등어구이
울주(울산),고속국도,35.510821,129.130435,Y,,,,돼지갈비정식
용인(인천),고속국도,37.248318,127.238342,Y,,,,콩고기더덕돌솥비빔밥
용인(강릉),고속국도,37.245583,127.2419801,Y,,,,소고기국밥
외동(포항),고속국도,35.672847,129.288543,Y,,,,천년한우국밥
외동(부산),고속국도,35.672753,129.285277,Y,,,,장터국밥
와촌(포항),고속국도,35.951819,128.775563,Y,,,,대추고추장비빔밥
옥천만남,고속국도,36.308718,127.572308,Y,,,,없음
